artista,genero,tipo,nombre,año_lanzamiento,id,bio,oyentes,reproducciones,similar_1,similar_2,similar_3
El Trini,flamenco,track,"Alegrías de Córdoba: Cante, Guitarra y Compás",2000,4YvD9sI74E7YGUS7W7dtZl," <a href=""https://www.last.fm/music/El+Trini"">Read more on Last.fm</a>",1684,7452,Juan María Real,Antonio De La Malena,El Turronero
El Trin,flamenco,track,"Rosas: Cante, Guitarra y Compás",2000,2VorCLgcLqfNIbKOR00V5p," <a href=""https://www.last.fm/music/El+Trin"">Read more on Last.fm</a>",34,45,El Trini,Montse Cortés,Israel Fernández
Marc Miralta,flamenco,track,Bye Bye Blackbird,2000,64Gj4jUqePFVNzu4PgkEym," <a href=""https://www.last.fm/music/Marc+Miralta"">Read more on Last.fm</a>",1129,5610,Javier Colina,Albert Sanz,"Benavent, Di Geraldo, Pardo"
El Trini,flamenco,track,Cantes de Levante: Cante y Guitarra,2000,3XVN9EEEMTGVwhiWhOBmSm," <a href=""https://www.last.fm/music/El+Trini"">Read more on Last.fm</a>",1684,7452,Juan María Real,Antonio De La Malena,El Turronero
El Trini,flamenco,track,"Cantiñas: Cante, Guitarra y Compás",2000,6wAeiWF3kECiWy5o09HGyq," <a href=""https://www.last.fm/music/El+Trini"">Read more on Last.fm</a>",1684,7452,Juan María Real,Antonio De La Malena,El Turronero
Maria del Mar Moreno,flamenco,track,La Caña completa sin baile flamenco,2000,5sUT6TJc8QXJ9HbBanm4hJ," <a href=""https://www.last.fm/music/Maria+del+Mar+Moreno"">Read more on Last.fm</a>",93,597,Manuel Salado,Sólo Compás Flamenco,Eva la yerbabuena
Color Flamenco,flamenco,track,El Mundo de los Sueños,2000,4igT31F8RVgXkw9hbgSOQs," <a href=""https://www.last.fm/music/color+flamenco"">Read more on Last.fm</a>",44,192,Mártires Del Compás,,
Ottmar Liebert,flamenco,track,Waiting 4 Stars 2 Fall - Digitally Remastered 1999,2000,5yjKdrLYedSjmPfInF0z4k,"German Ottmar Liebert composes, performs and records music in a ""Nouveau Flamenco"" style, which mixes elements of flamenco with jazz, bossa nova, and other genres. Ottmar Liebert's music can be difficult to categorize, which is welcomed by the artist himself. It is usually placed in the New Age section at record stores, or under world music from Spain. He has recorded with his band, Luna Negra, since 1990. Liebert describes Luna Negra as a ""rubber band""--it changes with the seasons, members are always coming in or out. <a href=""https://www.last.fm/music/Ottmar+Liebert"">Read more on Last.fm</a>",159977,1645335,Ottmar Liebert & Luna Negra,Jesse Cook,Armik
Coro Flamenco de la Hermandad de la Asunción de Cantillana,flamenco,track,Cuando llega agosto,2000,5OZVvdZJZ7mAnSjs5BbuNi," <a href=""https://www.last.fm/music/Coro+Flamenco+de+la+Hermandad+de+la+Asunci%C3%B3n+de+Cantillana"">Read more on Last.fm</a>",21,45,Las Nieves de Olivares,BM Las Cigarreras,Perlita de Huelva
Marc Miralta,flamenco,track,Evidence,2000,20fwdEdNnnNgHlI2AYYzO1," <a href=""https://www.last.fm/music/Marc+Miralta"">Read more on Last.fm</a>",1129,5610,Javier Colina,Albert Sanz,"Benavent, Di Geraldo, Pardo"
Marc Miralta,flamenco,track,You Stepped Out of a Dream,2000,0HyxA8qoFQGjaUqkffDqsh," <a href=""https://www.last.fm/music/Marc+Miralta"">Read more on Last.fm</a>",1129,5610,Javier Colina,Albert Sanz,"Benavent, Di Geraldo, Pardo"
Marc Miralta,flamenco,track,Dexterity,2000,51OeWXLeGQeN6dBuVjkaAG," <a href=""https://www.last.fm/music/Marc+Miralta"">Read more on Last.fm</a>",1129,5610,Javier Colina,Albert Sanz,"Benavent, Di Geraldo, Pardo"
Ottmar Liebert,flamenco,track,La Memoria/Shadows - Digitally Remastered 1999,2000,7bO6n47ZePdeLGP6oMtHMn,"German Ottmar Liebert composes, performs and records music in a ""Nouveau Flamenco"" style, which mixes elements of flamenco with jazz, bossa nova, and other genres. Ottmar Liebert's music can be difficult to categorize, which is welcomed by the artist himself. It is usually placed in the New Age section at record stores, or under world music from Spain. He has recorded with his band, Luna Negra, since 1990. Liebert describes Luna Negra as a ""rubber band""--it changes with the seasons, members are always coming in or out. <a href=""https://www.last.fm/music/Ottmar+Liebert"">Read more on Last.fm</a>",159977,1645335,Ottmar Liebert & Luna Negra,Jesse Cook,Armik
Coro Flamenco de la Hermandad de la Asunción de Cantillana,flamenco,track,La Estrella,2000,4F1wGgZut9ACSvZF0aVzyN," <a href=""https://www.last.fm/music/Coro+Flamenco+de+la+Hermandad+de+la+Asunci%C3%B3n+de+Cantillana"">Read more on Last.fm</a>",21,45,Las Nieves de Olivares,BM Las Cigarreras,Perlita de Huelva
Ottmar Liebert,flamenco,track,Surrender II - Digitally Remastered 1999,2000,0LtPZHGNYk5foFDCBp0wNX,"German Ottmar Liebert composes, performs and records music in a ""Nouveau Flamenco"" style, which mixes elements of flamenco with jazz, bossa nova, and other genres. Ottmar Liebert's music can be difficult to categorize, which is welcomed by the artist himself. It is usually placed in the New Age section at record stores, or under world music from Spain. He has recorded with his band, Luna Negra, since 1990. Liebert describes Luna Negra as a ""rubber band""--it changes with the seasons, members are always coming in or out. <a href=""https://www.last.fm/music/Ottmar+Liebert"">Read more on Last.fm</a>",159977,1645335,Ottmar Liebert & Luna Negra,Jesse Cook,Armik
Ottmar Liebert,flamenco,track,Morning Sky - Digitally Remastered 1999,2000,1loMSG51HW8kU4A19wXTBR,"German Ottmar Liebert composes, performs and records music in a ""Nouveau Flamenco"" style, which mixes elements of flamenco with jazz, bossa nova, and other genres. Ottmar Liebert's music can be difficult to categorize, which is welcomed by the artist himself. It is usually placed in the New Age section at record stores, or under world music from Spain. He has recorded with his band, Luna Negra, since 1990. Liebert describes Luna Negra as a ""rubber band""--it changes with the seasons, members are always coming in or out. <a href=""https://www.last.fm/music/Ottmar+Liebert"">Read more on Last.fm</a>",159977,1645335,Ottmar Liebert & Luna Negra,Jesse Cook,Armik
Familias Gitanas de Utrera,flamenco,track,Bulerias con palmas y cante - Utrera,2000,3b2ROK2k8RuCyUAnQfiKsf," <a href=""https://www.last.fm/music/Familias+Gitanas+de+Utrera"">Read more on Last.fm</a>",44,114,Familias Gitanas de Moron de la Frontera,Grupo Maria del Mar Moreno,Jose Fernandez
