,artista,genero,tipo,nombre,año_lanzamiento,id,bio,oyentes,reproducciones,similar_1,similar_2,similar_3
912,Umberto Giordano,orchestra,album,Giordano: Andrea Chenier (La Scala) (1928-1931),2001,23CXPBf8bpT9NCaAwtY6wA,"Umberto Giordano (August 28, 1867 – November 12, 1948) was an Italian composer, mainly of opera. He was born in Foggia in Puglia, Italy and studied under Paolo Serrao at the Conservatoire of Naples. His first opera Marina, was written for the competition staged by the music publishers Casa Sonzogno for the best one-act opera, remembered today because it marked the beginning of Italian verismo; the winner was Mascagni's Cavalleria Rusticana. Giordano <a href=""https://www.last.fm/music/Umberto+Giordano"">Read more on Last.fm</a>",38461.0,152970.0,Francesco Cilea,Alfredo Catalani,Ernesto De Curtis
913,Luigi Cherubini,orchestra,album,Cherubini: Missa solemnis in D Minor,2001,36CBB5c3MxYo91wPBotKOm,"Luigi Cherubini (1760–1842) was an Italian composer who spent most of his working life in France. Although his music is not well known today, it was greatly admired in his time. Beethoven regarded him as the greatest of his contemporaries. Cherubini was born Maria Luigi Carlo Zenobio Salvatore Cherubini on 14th September 1760 in Florence. His instruction in music began at the age of six with his father, himself a musician. By the age of thirteen he had composed several religious works. <a href=""https://www.last.fm/music/Luigi+Cherubini"">Read more on Last.fm</a>",41887.0,211549.0,Francois-Joseph Gossec,Johann Nepomuk Hummel,Michael Haydn
914,Giovanni Paisiello,orchestra,album,Paisiello: Overtures and Symphonies,2001,4JrkuOZqEHLVzHBUoExjRm,"Giovanni Paisiello (or Paesiello) (May 9, 1740 – June 5, 1816), was an Italian composer of the Classical era. Paisiello was born at Taranto, where he attended the Jesuit college. The beauty of his singing voice attracted so much attention that in 1754 he was sent to the Conservatorio di S. Onofrio at Naples, where he studied under Francesco Durante, and in due course became assistant master. For the theatre of the Conservatorio, which he left in 1763 <a href=""https://www.last.fm/music/Giovanni+Paisiello"">Read more on Last.fm</a>",25188.0,93650.0,Antonio Rosetti,Saverio Mercadante,Antonio Caldara
915,Orchestra Of The Renaissance,orchestra,album,"Morales, C.: Assumption Mass",2001,2h2f96AOAPJu1A8jbh0uEH," <a href=""https://www.last.fm/music/Orchestra+of+the+Renaissance"">Read more on Last.fm</a>",91.0,1508.0,La Colombina,Huelgas Ensemble,The Harp Consort
916,Orchestra d'Archi Italiana,orchestra,album,"Beethoven: Quartet ""Serioso"" & Schubert: Quartet ""Der Tod und das Madchen""",2001,0wzbQ1Llr52P4URo1Pqiaw," <a href=""https://www.last.fm/music/orchestra+d%27archi+italiana"">Read more on Last.fm</a>",7.0,35.0,,,
917,Orchestra La Via Giusta,orchestra,album,Ali d'oro,2001,2RMZTGcafUcSJ6MEdvstkW," <a href=""https://www.last.fm/music/Orchestra+La+Via+Giusta"">Read more on Last.fm</a>",1.0,1.0,,,
918,Ferruccio Tagliavini,orchestra,album,Ferruccio Tagliavini - Cetra Recordings 1940-1948,2001,39VVfM7EbMhUOHPFB0q37v,"Ferruccio Tagliavini (Reggio Emilia, 14 August 1913 - Reggio Emilia, 29 January 1995) was an Italian operatic tenor mainly active in the 1940s and 1950s. Tagliavini was hailed as the heir apparent to Tito Schipa and Beniamino Gigli in the lyric-opera repertory due to the exceptional beauty of his voice, but he did not sustain his great early promise across the full span of his career. Tagliavini studied in Parma with Branducci and in Florence with Amedeo Bassi, a well-known dramatic tenor of the pre-World War I era. <a href=""https://www.last.fm/music/Ferruccio+Tagliavini"">Read more on Last.fm</a>",4760.0,16385.0,Oscar Carboni,Tito Schipa,Flo Sandon's
919,Craig Jessop,orchestra,album,The Sound of Glory,2001,6mCCakr3gNQ4YDCzmc9LWg,"Craig Jessop is music director of the Mormon Tabernacle Choir. A student of Robert Shaw, Jessop was born in Millville, Utah and raised as a member of The Church of Jesus Christ of Latter-day Saints, to which the choir is affiliated. Jessop received a Doctorate of Musical Arts from Stanford University after receiving bachelor's and master's degrees from Utah State University and Brigham Young University, respectively. Dr. Jessop retired as a Lieutenant Colonel from the United States Air Force <a href=""https://www.last.fm/music/Craig+Jessop"">Read more on Last.fm</a>",96.0,3247.0,Kenneth Cope,Cherie Call,Jericho Road
920,Orchestra Mauro Rizzi,orchestra,album,"Ballo e fantasia, Vol. 1",2001,5dWANcj1C4tUGmlJbfKWyz," <a href=""https://www.last.fm/music/Orchestra+Mauro+Rizzi"">Read more on Last.fm</a>",6.0,9.0,,,
921,Vienna Academy Chamber Choir,orchestra,album,Holst: The Planets / Vaughan Williams: Greensleves & Tallis Fantasia,2001,25JxJqjd9g2tS6Gu1wTfdW," <a href=""https://www.last.fm/music/Vienna+Academy+Chamber+Choir"">Read more on Last.fm</a>",17.0,43.0,,,
922,Orchestra di Padova e del Veneto,orchestra,album,"Mendelssohn: Violin Concerto No. 2, Op. 64 & Symphony No. 4, Op. 90, ""Italiana""",2001,74mUX4rnuArXxX7WhVl2SG," <a href=""https://www.last.fm/music/Orchestra+di+Padova+e+del+Veneto"">Read more on Last.fm</a>",494.0,1619.0,Frans Brüggen,Peter Maag,Orchestra da Camera di Santa Cecilia
923,John Wegner,orchestra,album,Villains - Sinister Songs and Arias,2001,6QjyMJiYT5TBk9QufAjXyz," <a href=""https://www.last.fm/music/John+Wegner"">Read more on Last.fm</a>",39.0,110.0,,,
924,Lucia Aliberti,orchestra,album,Viva! Belcanto,2001,66yCO7KR34hzVDVIQADpEq,"Lucia Aliberti (born 12 June 1957 in Messina) is a prominent Sicilian soprano opera singer. She is much appreciated for her performances of the bel canto roles of Rossini, Bellini, and Donizetti. A dramatic soprano of vocal agility, Lucia Aliberti was awarded a diploma with full marks from the Conservatory while still very young. She then completed her studies in Rome with Maestro Luigi Ricci and continued the study with Alfredo Kraus.She is considered one of the most complete artists of the new generation. <a href=""https://www.last.fm/music/Lucia+Aliberti"">Read more on Last.fm</a>",396.0,1930.0,Vesselina Kasarova,Marilyn Horne,Erna Sack
925,Francis Poulenc,orchestra,album,Francis Poulenc: La voix humaine,2001,0QS1KvxjjNxSmZPcqefuzI,"Francis Jean Marcel Poulenc (January 7, 1899 - January 30, 1963) was a French composer and a member of the French Group Les Six. He was a Parisian by birth and death, and always preferred the city to the country. His mother, an amateur pianist, taught him to play, and music formed a part of family life. Poulenc was a member of Les Six, a group of young French composers, Darius Milhaud, Georges Auric, Louis Durey, Arthur Honegger and Germaine Tailleferre, who also had links with Erik Satie and Jean Cocteau. <a href=""https://www.last.fm/music/Francis+Poulenc"">Read more on Last.fm</a>",322713.0,2353747.0,Olivier Messiaen,Maurice Ravel,Ralph Vaughan Williams
926,Orchestra Nouiima,orchestra,album,Lwalida,2001,4lYnuKfcDecrlw705tjntx,,,,,,
927,Orchestra Filarmonica Di Verona,orchestra,album,Verdi: Nabucco 1,2001,7bgWNBez9qVFgfa3bTUMUF," <a href=""https://www.last.fm/music/Orchestra+Filarmonica+di+Verona"">Read more on Last.fm</a>",32.0,68.0,,,
928,"Hariprasad Chaurasia, Henri Tournier & Orchestra Trans Europeennes",orchestra,album,"Adi Anant: Creation Mondiale (Live at Theatre de La Ville Paris, France, Feburary 26th & 27th, 1999)",2001,6tOx6THnqz5mVzp2oEETTp," <a href=""https://www.last.fm/music/Hariprasad+Chaurasia,+Henri+Tournier+&+Orchestra+Trans+Europeennes"">Read more on Last.fm</a>",19.0,294.0,Bhimsen Joshi,,
929,Francesco Cilea,orchestra,album,Cilea: L'arlesiana Dramma lirico in tre atti di Leopoldo Marenco,2001,7gxXSt8ym0RBA7EAIS7VSH,"Francesco Cilea (July 26, 1866 – November 20, 1950) was an Italian opera composer. Born in Palmi near Reggio Calabria, Francesco Cilea gave early indication of an aptitude for music when at the age of four he heard a performance of Bellini's Norma and was greatly affected by it. He was sent to study music at the Conservatorio San Pietro a Maiella in Naples, where he quickly demonstrated his diligence and precocious talent, earning a gold medal from the Ministero della Pubblica Istruzione (Department of education). <a href=""https://www.last.fm/music/Francesco+Cilea"">Read more on Last.fm</a>",16837.0,63308.0,Umberto Giordano,Arrigo Boito,Ernesto De Curtis
