artista,genero,tipo,nombre,año_lanzamiento,id,bio,oyentes,reproducciones,similar_1,similar_2,similar_3
Galt MacDermot,tango,track,Tango,2000,0htJBxWiYQekDfaXfpZIOR,"Arthur Terence Galt MacDermot (December 18, 1928 – December 17, 2018) was a Canadian-American composer, pianist and writer of musical theatre. He won a Grammy Award for the song ""African Waltz"" in 1960. His most successful musicals were Hair (1967; its cast album also won a Grammy) and Two Gentlemen of Verona (1971). MacDermot also composed music for film soundtracks, jazz and funk albums, and classical music, and his music has been sampled in hit hip-hop songs and albums. <a href=""https://www.last.fm/music/Galt+Macdermot"">Read more on Last.fm</a>",311938,3120742,Menahan Street Band,Lack of Afro,The Olympians
Luis Villegas,tango,track,Last Tango,2000,186rs21ykuTNwgb4nYPwFE,"Luis Villegas is a first-generation Mexican-American born in East Los Angeles, CA and is now an Internationally-renowned guitarist. A self-taught guitarist who plays flamenco, jazz, rock, blues and classical, he grew up listening to traditional Mexican Ranchero music. As a boy, he met the famous Mexican Ranchero singer, Vicente Fernandez, and listened to traditional Mexican ballads. It was not Mexican music, however, that attracted him to the guitar but rock and roll since the heavy metal explosion was in full swing in Los Angeles. <a href=""https://www.last.fm/music/Luis+Villegas"">Read more on Last.fm</a>",13466,72417,Saro Tribastone,NOVAMENCO,Creol
Juana Amaya,tango,track,Tangos Solo Compás = 176,2000,3uuoetoTPJkEIjyHxDGDyd," <a href=""https://www.last.fm/music/Juana+Amaya"">Read more on Last.fm</a>",419,3538,Jose Galvan,Manuel Salado,Adela Campallo
Lole Y Manuel,tango,track,Tangos del Almendro,2000,5ZIrzjYNq6C5Dl7HUZBBSD,"Dolores Montoya Rodriguez (""Lole,"" born in Sevilla, 1954) and Manuel Molina Jimenez (""Manuel,"" born in Ceuta, 1948) are a flamenco duo that started, as a project, in 1972. The couple was the first flamenco couple ever to target an audience not familiar with flamenco, and are precursors of ""nuevo flamenco"" (New Flamenco). Their first album was produced in 1975, with a title representative of Spain's social realities at the time: ""Nuevo dia"" (New Day). <a href=""https://www.last.fm/music/Lole+Y+Manuel"">Read more on Last.fm</a>",118084,668557,Enrique Morente,Camarón de la Isla,Estrella Morente
Familia Montoya,tango,track,Tangos de la Virgen,2000,5Svp0XLKao9MwaovhTr9GY," <a href=""https://www.last.fm/music/Familia+Montoya"">Read more on Last.fm</a>",94,533,El Agujetas,Fernanda de Utrera,Ramón El Portugués
Antonio Vivaldi,tango,track,Primavera Tango (Four Seasons),2000,6mpQYMq1l1gU0ltQ0nO1IW,"Antonio Lucio Vivaldi (4 March 1678 – 28 July 1741) was an Italian composer, virtuoso violinist, impresario of Baroque music, and Roman Catholic priest. He is regarded as one of the leading Baroque composers, with a significant influence across Europe during his lifetime. Vivaldi contributed to developments in orchestration, violin technique, and programmatic music. He played a key role in consolidating the concerto form, particularly the solo concerto, into a widely recognised musical idiom. <a href=""https://www.last.fm/music/Antonio+Vivaldi"">Read more on Last.fm</a>",1889232,40695234,Georg Friedrich Händel,Johann Sebastian Bach,Georg Philipp Telemann
Candeal,tango,track,Tango Del Borracho,2000,1xsUy44UXm3sgS8HhHANX1,"Candeal, including: Félix Pérez[/bandember], Toño Ortega, Nico, Alfonso Gato, Antonio, Mário Garrote, is a Spanish group who for 30 years has played and recompiled the traditional folk songs of their native Spain, making their own traditional and antique instruments, and giving concerts throughout Spain and internationally in venues ranging from music conservatoria to great concert halls and even television. They have recorded 20 albums and received various awards for their work. Official site www.grupocandeal.es <a href=""https://www.last.fm/music/Candeal"">Read more on Last.fm</a>",599,9305,Nuevo Mester de Juglaría,Joaquín Díaz,Nuevo Mester Juglaria
Vicky Leandros,tango,track,Tango d'amour,2000,7LPxuZcGoUtJ7O5c1Bjy7G,"Vasiliki Papathanasiou (Greek: Βασιλική Παπαθανασίου, IPA: [vasiliˈci papaθanaˈsi.u]; born 23 August 1949), generally known as Vicky Leandros (Greek: Βίκυ Λέανδρος, IPA: [ˈvici ˈle.anðros]), is a Greek singer living in Germany. She is the daughter of singer, musician, and composer Leandros Papathanasiou (also known as Leo Leandros and Mario Panas as well). In 1967, she achieved worldwide fame after securing fourth <a href=""https://www.last.fm/music/Vicky+Leandros"">Read more on Last.fm</a>",81335,628924,Roy Black,Marianne Rosenberg,Katja Ebstein
Dead Fish,tango,track,Tango,2000,7e37qaZzqbd2rJYk9CZrol,"There is more than one artist with this name: 1) Dead Fish is a Brazilian hardcore punk band from Vitória, Espírito Santo, Brazil. Formed in 1991, they developed their music with intense vocal, initially sung in English then switched to Portuguese, frantic guitar fretwork, bulldozer-like drumming style and bass picking. The lyrics usually range from political and social criticism to daily personal problems, among others. Their gigs are known for the energetic performances, frantic mosh-pit and stage dives. <a href=""https://www.last.fm/music/Dead+Fish"">Read more on Last.fm</a>",108071,11025156,Sugar Kane,Pense,Zander
Ramon Montoya,tango,track,Tango - mayor y menor,2000,5A8FVt6fFmsXIRVIYD4iEG," <a href=""https://www.last.fm/music/+noredirect/Ramon+Montoya"">Read more on Last.fm</a>",449,4211,Niño Ricardo,Ronald Radford,Juan Martín
