artista,genero,tipo,nombre,año_lanzamiento,id,bio,oyentes,reproducciones,similar_1,similar_2,similar_3
The Firm,hip hop,track,Executive Decision,2000,3zZSwQqbCSNmrbcbjKq8dM,"The are multiple artists with this name. 1)The Firm was an English rock supergroup comprising former Free and Bad Company singer Paul Rodgers, ex-Led Zeppelin guitarist Jimmy Page, ex-Uriah Heep and Manfred Mann's Earth Band drummer Chris Slade and bass player Tony Franklin. Formed in 1984, the band had only mediocre album sales, although they did have sellout tours. Page and Rodgers originally wanted former Yes drummer Bill Bruford and fretless bassist Pino Palladino in the group; however <a href=""https://www.last.fm/music/The+Firm"">Read more on Last.fm</a>",107752,748333,Bad Company,Triumph,Robert Plant
Mike Francis,hip hop,track,Hip Hop Bee Bop On,2000,2ptBBepFVo8fkjXi4i6Cw7,"Mike Francis, alias Francesco Puccioni (26.04.1961-30.01.2009), was born at 01:20 on April 26, 1961 in Florence, Italy. The choice of an English stage name comes from Mike's direct contact with American culture. Right after High School, although he thought of going to university, he began writing seriously his first songs, while at the same time studying composition and arrangement. Since his first album ""Let's not talk about it"", including the hit ""Survivor"" <a href=""https://www.last.fm/music/Mike+Francis"">Read more on Last.fm</a>",20189,162218,Mystic Diversions,Schwarz & Funk,Velvet Lounge Project
SOUL SCREAM,hip hop,track,HIP HOP 2ZEROOO feat. RINO,2000,4xZaMtp8sqyum1qLjg2vvd,"Hip-hop crew from Tokyo, Japan. Members: Alergie, ALG, DJ Celory, E.G.G. Man, Hab I Scream & Shiki. <a href=""https://www.last.fm/music/Soul+Scream"">Read more on Last.fm</a>",29285,494683,キングギドラ,RHYMESTER,Gagle
SOUL SCREAM,hip hop,track,HIP HOP 2ZEROOO feat. RINO -DJ CELORY Rework-,2000,0nQMi5Zfv0mpuU0ghvAoev,"Hip-hop crew from Tokyo, Japan. Members: Alergie, ALG, DJ Celory, E.G.G. Man, Hab I Scream & Shiki. <a href=""https://www.last.fm/music/Soul+Scream"">Read more on Last.fm</a>",29285,494683,キングギドラ,RHYMESTER,Gagle
Pressure Drop,hip hop,track,Hip Hop Fanatic,2000,3YhGVq7QOdYSatJKXbMagm,"There is more than one artist with this name... 1. London-based disc jockeys Justin Langlands and Dave Henley first met in 1986, at the peak of the house scene. Under the moniker Blood Brothers they became stalwarts of the genre. Pressure Drop was born with the singles Feeling Good (Big World, 1990), Back To Back (Big World, 1990), Trancefusion (Big World, 1990). The style changed with the album Upset (Boombastic, 1992), one of the precursors of trip-hop <a href=""https://www.last.fm/music/Pressure+Drop"">Read more on Last.fm</a>",69726,301517,Kinobe,Tosca,A Man Called Adam
O Surto,hip hop,track,Hip Hop Repente,2000,6UOaIYvWSh3z4SzXXtgODV,"O Surto is a brazilian band that made success in 2000 with the music A Cera, included on its second album. The band played in 2001 at the Rock in Rio. In 2002, after a split that only left two (of the five) original members, they return with their usual rock [skate-punk]. <a href=""https://www.last.fm/music/O+Surto"">Read more on Last.fm</a>",128703,1274692,Tihuana,Raimundos,Charlie Brown JR.
The Devotchkas,hip hop,track,Hip Hop Kids,2000,0SPLbfiOJlTWOAyUFmNIB4,"The Devotchkas were a four-piece American street punk band from Long Island, NY. Their name was derived from the popular film and novel A Clockwork Orange. Devotchka in Nadsat means ""girl"", which is itself derived from the Russian word (девочка) of the same meaning. An all-girl group, the band was formed by three friends in 1996.[1] The early period saw drummers come and go, including Jon from The Krays.[2] Wanting a regular drummer, they eventually recruited Gabrielle in 1999 to complete the line-up. <a href=""https://www.last.fm/music/+noredirect/The+Devotchkas"">Read more on Last.fm</a>",4577,47463,Lower Class Brats,Cheap Sex,Clit 45
"Up, Bustle & Out",hip hop,track,Hip Hop Barrio,2000,7DhFw28cNpOr1BObqnzrDt,"Name variation for Up, Bustle and Out <a href=""https://www.last.fm/music/+noredirect/Up,+Bustle+&+Out"">Read more on Last.fm</a>",28280,192692,DJ Food,London Funk Allstars,9 Lazy 9
Mike Francis,hip hop,track,Hip Hop Bee Bop On,2000,6939jIyScNUpw9j5nwTG3e,"Mike Francis, alias Francesco Puccioni (26.04.1961-30.01.2009), was born at 01:20 on April 26, 1961 in Florence, Italy. The choice of an English stage name comes from Mike's direct contact with American culture. Right after High School, although he thought of going to university, he began writing seriously his first songs, while at the same time studying composition and arrangement. Since his first album ""Let's not talk about it"", including the hit ""Survivor"" <a href=""https://www.last.fm/music/Mike+Francis"">Read more on Last.fm</a>",20189,162218,Mystic Diversions,Schwarz & Funk,Velvet Lounge Project
Dead Prez,hip hop,track,It's Bigger Than Hip-Hop (feat. Tahir And Peoples Army),2000,7i2GCQ4FzXtNJSAnmOJBpv,"Dead Prez are an underground hip-hop duo which formed in 1996 in New York City, New York, United States, consisting of rapper stic.man and M-1. They have released three albums, ""Let's Get Free"" (2000), ""Revolutionary But Gangsta"" (2004), and ""Information Age"" (2012). The duo has also released several mixtapes. They are known for their sometimes confrontational style, combined with socialist lyrics focused on both militant social justice, and also positivity. <a href=""https://www.last.fm/music/dead+prez"">Read more on Last.fm</a>",534790,6789083,The Coup,Immortal Technique,Talib Kweli
